ts_code,return_rank,pe_rank,pb_rank,average_rank
000988.SZ,38.0,19.0,32.0,29.666666666666668
002008.SZ,23.0,8.0,3.0,11.333333333333334
002334.SZ,31.0,1.0,7.0,13.0
002698.SZ,19.0,10.0,39.0,22.666666666666668
002747.SZ,27.0,40.0,51.0,39.333333333333336
002957.SZ,22.0,21.0,8.0,17.0
002975.SZ,11.0,48.0,18.0,25.666666666666668
002979.SZ,50.0,36.0,54.0,46.666666666666664
300024.SZ,36.0,50.0,45.0,43.666666666666664
300048.SZ,26.0,52.0,30.0,36.0
300083.SZ,20.0,31.0,14.0,21.666666666666668
300124.SZ,21.0,17.0,48.0,28.666666666666668
300227.SZ,39.0,34.0,15.0,29.333333333333332
300276.SZ,53.0,51.0,47.0,50.333333333333336
300400.SZ,32.0,37.0,43.0,37.333333333333336
300484.SZ,30.0,45.0,49.0,41.333333333333336
300607.SZ,51.0,41.0,35.0,42.333333333333336
300747.SZ,24.0,30.0,29.0,27.666666666666668
300802.SZ,18.0,32.0,26.0,25.333333333333332
301021.SZ,41.0,47.0,34.0,40.666666666666664
301029.SZ,8.0,7.0,33.0,16.0
301199.SZ,6.0,43.0,9.0,19.333333333333332
600215.SH,9.0,14.0,4.0,9.0
603015.SH,42.0,35.0,28.0,35.0
603025.SH,10.0,18.0,52.0,26.666666666666668
603203.SH,15.0,11.0,38.0,21.333333333333332
603283.SH,1.0,2.0,42.0,15.0
603416.SH,46.0,12.0,22.0,26.666666666666668
603583.SH,47.0,27.0,16.0,30.0
603960.SH,4.0,33.0,44.0,27.0
605186.SH,3.0,29.0,23.0,18.333333333333332
605288.SH,45.0,6.0,1.0,17.333333333333332
688003.SH,16.0,25.0,40.0,27.0
688017.SH,12.0,49.0,55.0,38.666666666666664
688025.SH,35.0,22.0,11.0,22.666666666666668
688090.SH,2.0,44.0,41.0,29.0
688097.SH,28.0,9.0,19.0,18.666666666666668
688160.SH,48.0,38.0,53.0,46.333333333333336
688215.SH,44.0,39.0,21.0,34.666666666666664
688218.SH,14.0,16.0,20.0,16.666666666666668
688255.SH,34.0,42.0,25.0,33.666666666666664
688310.SH,7.0,3.0,13.0,7.666666666666667
688329.SH,29.0,23.0,2.0,18.0
688395.SH,40.0,13.0,6.0,19.666666666666668
688518.SH,25.0,4.0,5.0,11.333333333333334
688559.SH,5.0,5.0,17.0,9.0
688686.SH,17.0,28.0,27.0,24.0
688698.SH,33.0,24.0,36.0,31.0
688777.SH,13.0,15.0,31.0,19.666666666666668
831305.BJ,49.0,26.0,24.0,33.0
832885.BJ,54.0,46.0,46.0,48.666666666666664
871396.BJ,55.0,20.0,37.0,37.333333333333336
